organism,ID
Rhinovirus A,147711
Rhinovirus C,463676
Rift Valley fever phlebovirus,1933187
Rosavirus A,1511805
Roseolovirus humanbeta6a,32603
Roseolovirus humanbeta6a,3050296
Roseolovirus humanbeta6b,32604
Roseolovirus humanbeta6b,3050297
Roseolovirus humanbeta7,10372
Roseolovirus humanbeta7,3050298
Ross River virus,11029
Rotavirus A,28875
Rotavirus B,28876
Rotavirus C,36427
Rubivirus rubellae,11041
Rubivirus rubellae,2846071
Russian Spring-Summer encephalitis virus,64316
Salivirus A,1330524
Sandfly fever Naples phlebovirus,1933189
Sapporo virus,95342
Semliki Forest virus,11033
Seoul orthohantavirus,1980490
Severe acute respiratory syndrome-related coronavirus,694009
Sicilian phlebovirus,2734473
Simplexvirus humanalpha1,10298
Simplexvirus humanalpha1,3050292
Simplexvirus humanalpha2,10310
Simplexvirus humanalpha2,3050293
Simplexvirus macacinealpha1,10325
Simplexvirus macacinealpha1,3050305
Sin Nombre orthohantavirus,1980491
Sindbis virus,11034
Snowshoe hare orthobunyavirus,2560767
Spondweni virus,64318
Tanapox virus,99000
Thogotovirus bourbonense,1618189
Thogotovirus bourbonense,2956523
Thogotovirus dhoriense,11318
Tonate virus,60877
Toscana phlebovirus,2734478
Uukuniemi phlebovirus,1933191
Uukuniemi uukuvirus,2749936
Uukuvirus uukuniemiense,3052811
Vaccinia virus,10245
Varicellovirus humanalpha3,10335
Varicellovirus humanalpha3,3050294
Variola virus,10255
Venezuelan equine encephalitis virus,11036
Vesicular stomatitis virus,11276
Vesiculovirus chandipura,1972576
Vesiculovirus isfahan,1972573
Western equine encephalitis virus,11039
Whitewater Arroyo mammarenavirus,46919
Yaba monkey tumor virus,38804
unidentified human coronavirus,694448
